Normalización,Vectorizador,Modelo,F1_macro,Parámetros óptimos
sin_lemas,sin_lemas__tfidf__bigramas.pkl,NaiveBayes,0.43600399172838394,{'alpha': 0.5}
sin_lemas,sin_lemas__tfidf__bigramas.pkl,LogisticRegression,0.42402598383734336,"{'C': 10, 'solver': 'liblinear'}"
sin_lemas,sin_lemas__tfidf__bigramas.pkl,SVM,0.4357087437786319,"{'C': 10, 'kernel': 'linear'}"
sin_lemas,sin_lemas__tfidf__trigramas.pkl,NaiveBayes,0.42427859229046605,{'alpha': 0.5}
sin_lemas,sin_lemas__tfidf__trigramas.pkl,LogisticRegression,0.4187590855394648,"{'C': 10, 'solver': 'liblinear'}"
sin_lemas,sin_lemas__tfidf__trigramas.pkl,SVM,0.4257947781146722,"{'C': 10, 'kernel': 'linear'}"
sin_lemas,sin_lemas__tfidf__unigramas.pkl,NaiveBayes,0.6091778616692343,{'alpha': 0.1}
sin_lemas,sin_lemas__tfidf__unigramas.pkl,LogisticRegression,0.5333529600133485,"{'C': 10, 'solver': 'liblinear'}"
sin_lemas,sin_lemas__tfidf__unigramas.pkl,SVM,0.6048843333260419,"{'C': 10, 'kernel': 'linear'}"
sin_lemas,sin_lemas__tfidf__uni_bi.pkl,NaiveBayes,0.5462515701102729,{'alpha': 0.1}
sin_lemas,sin_lemas__tfidf__uni_bi.pkl,LogisticRegression,0.4472679166138776,"{'C': 10, 'solver': 'liblinear'}"
sin_lemas,sin_lemas__tfidf__uni_bi.pkl,SVM,0.5274507839250616,"{'C': 10, 'kernel': 'linear'}"
